subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"A1OOCYEFLAJD98",3,0,"VCS_350","d","VCS_270","c","VCS_70","a","VCS_170","b",8199,185773,"VCS_70","a"
"A1OOCYEFLAJD98",3,1,"VCS_330","d","VCS_60","a","VCS_150","b","VCS_240","c",4571,191347,"VCS_60","a"
"A1OOCYEFLAJD98",3,2,"VCS_80","a","VCS_360","d","VCS_160","b","VCS_260","c",6090,198439,"VCS_160","b"
"A1OOCYEFLAJD98",3,3,"VCS_60","a","VCS_330","d","VCS_240","c","VCS_150","b",2091,201536,"VCS_150","b"
"A1OOCYEFLAJD98",3,4,"VCS_250","c","VCS_70","a","VCS_330","d","VCS_170","b",10831,213382,"VCS_330","d"
"A1OOCYEFLAJD98",3,5,"VCS_260","c","VCS_160","b","VCS_360","d","VCS_80","a",8272,222673,"VCS_160","b"
"A1OOCYEFLAJD98",3,6,"VCS_360","d","VCS_90","a","VCS_270","c","VCS_180","b",2486,226188,"VCS_270","c"
"A1OOCYEFLAJD98",3,7,"VCS_160","b","VCS_60","a","VCS_260","c","VCS_340","d",9894,237112,"VCS_260","c"
"A1OOCYEFLAJD98",3,8,"VCS_180","b","VCS_90","a","VCS_360","d","VCS_270","c",1686,239816,"VCS_90","a"
"A1OOCYEFLAJD98",3,9,"VCS_70","a","VCS_250","c","VCS_150","b","VCS_350","d",1581,242410,"VCS_150","b"
"A1OOCYEFLAJD98",3,10,"VCS_260","c","VCS_170","b","VCS_350","d","VCS_80","a",7068,250490,"VCS_350","d"
"A1OOCYEFLAJD98",3,11,"VCS_170","b","VCS_350","d","VCS_70","a","VCS_270","c",2950,254465,"VCS_70","a"
"A1OOCYEFLAJD98",3,12,"VCS_250","c","VCS_340","d","VCS_70","a","VCS_160","b",1854,257339,"VCS_160","b"
"A1OOCYEFLAJD98",3,13,"VCS_250","c","VCS_350","d","VCS_150","b","VCS_70","a",944,259292,"VCS_150","b"
"A1OOCYEFLAJD98",3,14,"VCS_160","b","VCS_240","c","VCS_340","d","VCS_80","a",2778,263079,"VCS_80","a"
"A1OOCYEFLAJD98",3,15,"VCS_240","c","VCS_150","b","VCS_60","a","VCS_330","d",9513,273597,"VCS_150","b"
"A1OOCYEFLAJD98",3,16,"VCS_340","d","VCS_70","a","VCS_160","b","VCS_250","c",8373,282972,"VCS_70","a"
"A1OOCYEFLAJD98",3,17,"VCS_170","b","VCS_350","d","VCS_90","a","VCS_250","c",2137,286120,"VCS_90","a"
"A1OOCYEFLAJD98",3,18,"VCS_80","a","VCS_260","c","VCS_340","d","VCS_180","b",11189,298315,"VCS_180","b"
"A1OOCYEFLAJD98",3,19,"VCS_160","b","VCS_70","a","VCS_340","d","VCS_250","c",2657,301992,"VCS_70","a"
"A1OOCYEFLAJD98",3,20,"VCS_150","b","VCS_330","d","VCS_240","c","VCS_60","a",910,303907,"VCS_240","c"
"A1OOCYEFLAJD98",3,21,"VCS_70","a","VCS_340","d","VCS_160","b","VCS_250","c",1094,306005,"VCS_160","b"
"A1OOCYEFLAJD98",3,22,"VCS_70","a","VCS_330","d","VCS_250","c","VCS_170","b",3097,310114,"VCS_170","b"
"A1OOCYEFLAJD98",3,23,"VCS_170","b","VCS_80","a","VCS_260","c","VCS_350","d",11217,322336,"VCS_350","d"
"A1OOCYEFLAJD98",3,24,"VCS_340","d","VCS_80","a","VCS_160","b","VCS_240","c",3862,327225,"VCS_240","c"
"A1OOCYEFLAJD98",3,25,"VCS_80","a","VCS_170","b","VCS_350","d","VCS_260","c",11246,339490,"VCS_170","b"
"A1OOCYEFLAJD98",3,26,"VCS_350","d","VCS_90","a","VCS_250","c","VCS_170","b",1720,342223,"VCS_250","c"
"A1OOCYEFLAJD98",3,27,"VCS_270","c","VCS_180","b","VCS_360","d","VCS_90","a",5191,348426,"VCS_360","d"
"A1OOCYEFLAJD98",3,28,"VCS_340","d","VCS_160","b","VCS_60","a","VCS_260","c",1809,351247,"VCS_260","c"
"A1OOCYEFLAJD98",3,29,"VCS_90","a","VCS_270","c","VCS_180","b","VCS_360","d",4609,356863,"VCS_360","d"
"A1OOCYEFLAJD98",3,30,"VCS_260","c","VCS_340","d","VCS_80","a","VCS_180","b",7014,364895,"VCS_340","d"
"A1OOCYEFLAJD98",3,31,"VCS_350","d","VCS_260","c","VCS_80","a","VCS_170","b",862,366767,"VCS_260","c"