subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"A3UV55HC87DO9C",1,0,"VCS_260","c","VCS_80","a","VCS_360","d","VCS_160","b",1642,25456,"VCS_160","b"
"A3UV55HC87DO9C",1,1,"VCS_340","d","VCS_60","a","VCS_160","b","VCS_260","c",1743,28202,"VCS_260","c"
"A3UV55HC87DO9C",1,2,"VCS_350","d","VCS_260","c","VCS_80","a","VCS_170","b",1309,30517,"VCS_260","c"
"A3UV55HC87DO9C",1,3,"VCS_160","b","VCS_260","c","VCS_60","a","VCS_340","d",2361,33884,"VCS_260","c"
"A3UV55HC87DO9C",1,4,"VCS_180","b","VCS_270","c","VCS_90","a","VCS_360","d",2893,37781,"VCS_90","a"
"A3UV55HC87DO9C",1,5,"VCS_80","a","VCS_160","b","VCS_260","c","VCS_360","d",2300,41087,"VCS_160","b"
"A3UV55HC87DO9C",1,6,"VCS_260","c","VCS_180","b","VCS_340","d","VCS_80","a",1518,43608,"VCS_340","d"
"A3UV55HC87DO9C",1,7,"VCS_150","b","VCS_60","a","VCS_330","d","VCS_240","c",1634,46246,"VCS_240","c"
"A3UV55HC87DO9C",1,8,"VCS_60","a","VCS_240","c","VCS_150","b","VCS_330","d",878,48129,"VCS_150","b"
"A3UV55HC87DO9C",1,9,"VCS_250","c","VCS_150","b","VCS_350","d","VCS_70","a",1668,50804,"VCS_350","d"
"A3UV55HC87DO9C",1,10,"VCS_350","d","VCS_90","a","VCS_250","c","VCS_170","b",1222,53031,"VCS_250","c"
"A3UV55HC87DO9C",1,11,"VCS_90","a","VCS_360","d","VCS_180","b","VCS_270","c",847,54883,"VCS_180","b"
"A3UV55HC87DO9C",1,12,"VCS_340","d","VCS_160","b","VCS_80","a","VCS_240","c",1687,57578,"VCS_240","c"
"A3UV55HC87DO9C",1,13,"VCS_80","a","VCS_350","d","VCS_260","c","VCS_170","b",1106,59689,"VCS_170","b"
"A3UV55HC87DO9C",1,14,"VCS_360","d","VCS_270","c","VCS_90","a","VCS_180","b",1432,62126,"VCS_270","c"
"A3UV55HC87DO9C",1,15,"VCS_170","b","VCS_70","a","VCS_270","c","VCS_350","d",1699,64830,"VCS_70","a"
"A3UV55HC87DO9C",1,16,"VCS_160","b","VCS_70","a","VCS_250","c","VCS_340","d",1402,67237,"VCS_70","a"
"A3UV55HC87DO9C",1,17,"VCS_170","b","VCS_260","c","VCS_350","d","VCS_80","a",1160,69402,"VCS_80","a"
"A3UV55HC87DO9C",1,18,"VCS_250","c","VCS_170","b","VCS_330","d","VCS_70","a",1399,71806,"VCS_330","d"
"A3UV55HC87DO9C",1,19,"VCS_160","b","VCS_340","d","VCS_80","a","VCS_240","c",1107,73918,"VCS_80","a"
"A3UV55HC87DO9C",1,20,"VCS_70","a","VCS_170","b","VCS_250","c","VCS_330","d",1132,76056,"VCS_170","b"
"A3UV55HC87DO9C",1,21,"VCS_70","a","VCS_340","d","VCS_250","c","VCS_160","b",1129,78191,"VCS_160","b"
"A3UV55HC87DO9C",1,22,"VCS_240","c","VCS_330","d","VCS_150","b","VCS_60","a",2249,81445,"VCS_150","b"
"A3UV55HC87DO9C",1,23,"VCS_260","c","VCS_170","b","VCS_350","d","VCS_80","a",1512,83962,"VCS_350","d"
"A3UV55HC87DO9C",1,24,"VCS_80","a","VCS_180","b","VCS_340","d","VCS_260","c",1608,86574,"VCS_180","b"
"A3UV55HC87DO9C",1,25,"VCS_170","b","VCS_90","a","VCS_350","d","VCS_250","c",2683,90262,"VCS_90","a"
"A3UV55HC87DO9C",1,26,"VCS_270","c","VCS_180","b","VCS_90","a","VCS_360","d",1096,92364,"VCS_360","d"
"A3UV55HC87DO9C",1,27,"VCS_330","d","VCS_60","a","VCS_150","b","VCS_240","c",1853,95221,"VCS_240","c"
"A3UV55HC87DO9C",1,28,"VCS_70","a","VCS_350","d","VCS_150","b","VCS_250","c",1659,97885,"VCS_150","b"
"A3UV55HC87DO9C",1,29,"VCS_350","d","VCS_170","b","VCS_70","a","VCS_270","c",981,99871,"VCS_270","c"
"A3UV55HC87DO9C",1,30,"VCS_250","c","VCS_160","b","VCS_340","d","VCS_70","a",892,101769,"VCS_340","d"
"A3UV55HC87DO9C",1,31,"VCS_340","d","VCS_250","c","VCS_160","b","VCS_70","a",1950,104724,"VCS_250","c"